			Values		
2025	02	0405040083-EXENTERACAO DE ORBITA	1	R$ 774,35	R$ 774,35
2025	02	0405040202-TRATAMENTO DE PTOSE PALPEBRAL	3	R$ 1.363,47	R$ 454,49
2025	02	0405040210-REPOSICIONAMENTO DE LENTE INTRAOCULAR	1	R$ 468,76	R$ 468,76
2025	02	0405050097-FACECTOMIA COM IMPLANTE DE LENTE INTRA-OCULAR	1	R$ 531,60	R$ 531,60
2025	02	0405050100-FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR	3	R$ 1.450,80	R$ 483,60
2025	02	0405050151-IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO	3	R$ 3.338,49	R$ 1.112,83
2025	02	0405050224-RECONSTITUICAO DE FORNIX CONJUNTIVAL	1	R$ 520,44	R$ 520,44
2025	02	0405050232-RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO	9	R$ 7.154,01	R$ 794,89
2025	02	0405050321-TRABECULECTOMIA	4	R$ 3.623,70	R$ 905,93
2025	02	0405050356-TRATAMENTO CIRURGICO DE GLAUCOMA CONGENITO	2	R$ 2.473,50	R$ 1.236,75
2025	02	0405050372-FACOEMULSIFICACAO COM IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL	75	R$ 58.521,26	R$ 780,28
2025	02	0406010684-IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO	1	R$ 2.784,05	R$ 2.784,05
2025	02	0406010692-IMPLANTE DE PROTESE VALVAR	3	R$ 81.281,95	R$ 27.093,98
2025	02	0406010706-INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NAO A REVASCULARIZACAO MIOCARDICA	1	R$ 29.159,63	R$ 29.159,63
2025	02	0406010773-PERICARDIOCENTESE	1	R$ 755,09	R$ 755,09
2025	02	0406010862-REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO	1	R$ 7.012,00	R$ 7.012,00
2025	02	0406010927-REVASCULARIZACAO MIOCARDICA COM USO DE EXTRACORPOREA	1	R$ 30.234,39	R$ 30.234,39
2025	02	0406010935-REVASCULARIZACAO MIOCARDICA C/ USO DE EXTRACORPOREA (C/ 2 OU MAIS ENXERTOS)	2	R$ 52.858,19	R$ 26.429,10
2025	02	0406010943-REVASCULARIZACAO MIOCARDICA S/ USO DE EXTRACORPOREA	2	R$ 43.169,37	R$ 21.584,69
2025	02	0406011427-CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANCA E ADOLESCENTE)	1	R$ 7.302,72	R$ 7.302,72
2025	02	0406011460-FECHAMENTO DE COMUNICACAO INTERVENTRICULAR (CRIANCA E ADOLESCENTE)	1	R$ 17.131,61	R$ 17.131,61
2025	02	0406011516-CORRECAO DE COARCTACAO DA AORTA COM CEC (CRIANCA E ADOLESCENTE)	1	R$ 23.821,19	R$ 23.821,19
2025	02	0406020078-IMPLANTACAO DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)	7	R$ 3.072,60	R$ 438,94
2025	02	0406020159-EXERESE DE GANGLIO LINFATICO	9	R$ 793,35	R$ 88,15
2025	02	0406020337-PONTE DE RAMOS DOS TRONCOS SUPRA-AORTICOS	1	R$ 5.214,17	R$ 5.214,17
2025	02	0406020353-PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL	3	R$ 36.287,74	R$ 12.095,91
2025	02	0406020370-PONTE-TROMBOENDARTERECTOMIA DE CAROTIDA	4	R$ 16.281,98	R$ 4.070,50
2025	02	0406020388-PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL	1	R$ 7.785,71	R$ 7.785,71
2025	02	0406020426-REVASCULARIZACAO DO MEMBRO SUPERIOR	1	R$ 1.281,88	R$ 1.281,88
2025	02	0406020434-REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS	1	R$ 30.262,02	R$ 30.262,02
2025	02	0406020493-TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DA REGIAO CERVICAL	1	R$ 3.462,13	R$ 3.462,13
2025	02	0406030014-ANGIOPLASTIA CORONARIANA	1	R$ 10.196,96	R$ 10.196,96
2025	02	0406030022-ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS	14	R$ 166.372,13	R$ 11.883,72
2025	02	0406030030-ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT	21	R$ 166.784,25	R$ 7.942,11
2025	02	0406030049-ANGIOPLASTIA CORONARIANA PRIMARIA	1	R$ 6.750,26	R$ 6.750,26
2025	02	0406030103-RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TECNICAS HEMODINAMICAS	1	R$ 656,72	R$ 656,72
2025	02	0406040010-ALCOOLIZACAO PERCUTANEA DE HEMANGIOMA E MALFORMACAO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)	1	R$ 822,81	R$ 822,81
2025	02	0406040044-ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (SEM STENT)	1	R$ 4.254,33	R$ 4.254,33
2025	02	0406040052-ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)	4	R$ 11.767,91	R$ 2.941,98
2025	02	0406040095-ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (COM STENT NAO RECOBERTO)	1	R$ 11.881,59	R$ 11.881,59
2025	02	0406040141-COLOCACAO PERCUTANEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFERICA E EMBOLIA PULMONAR)	1	R$ 5.373,48	R$ 5.373,48
2025	02	0406040168-CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS COM ENDOPROTESE BIFURCADA	1	R$ 23.617,25	R$ 23.617,25
2025	02	0406040192-EMBOLIZACAO ARTERIAL DE HEMORRAGIA DIGESTIVA (INCLUI PROCEDIMENTO ENDOSCOPICO E/OU ESTUDO ANGIOGRAFICO)	1	R$ 22.472,50	R$ 22.472,50
2025	02	0406040206-EMBOLIZACAO DE MALFORMACAO VASCULAR ARTERIO-VENOSA (INCLUI ESTUDO ANGIOGRAFICO)	1	R$ 7.086,32	R$ 7.086,32
2025	02	0406050090-ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA ATRIAL CICATRICIAL)	1	R$ 9.362,65	R$ 9.362,65
2025	02	0407010130-GASTRECTOMIA PARCIAL COM OU SEM VAGOTOMIA	1	R$ 2.696,13	R$ 2.696,13
2025	02	0407010211-GASTROSTOMIA	2	R$ 2.225,72	R$ 1.112,86
2025	02	0407010297-TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO	2	R$ 1.701,29	R$ 850,65
2025	02	0407010386-CIRURGIA BARIATRICA POR VIDEOLAPAROSCOPIA	4	R$ 24.627,44	R$ 6.156,86
2025	02	0407020039-APENDICECTOMIA	3	R$ 2.816,43	R$ 938,81
2025	02	0407020047-APENDICECTOMIA VIDEOLAPAROSCOPICA	14	R$ 14.417,39	R$ 1.029,81
2025	02	0407020063-COLECTOMIA PARCIAL (HEMICOLECTOMIA)	3	R$ 18.964,66	R$ 6.321,55
2025	02	0407020101-COLOSTOMIA	3	R$ 6.295,78	R$ 2.098,59
2025	02	0407020136-DRENAGEM DE ABSCESSO ANU-RETAL	4	R$ 2.395,71	R$ 598,93
2025	02	0407020179-ENTERECTOMIA	2	R$ 16.286,72	R$ 8.143,36
2025	02	0407020187-ENTEROANASTOMOSE (QUALQUER SEGMENTO)	3	R$ 5.868,48	R$ 1.956,16
2025	02	0407020241-FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)	1	R$ 667,13	R$ 667,13
2025	02	0407020276-FISTULECTOMIA / FISTULOTOMIA ANAL	1	R$ 8.961,74	R$ 8.961,74
2025	02	0407020284-HEMORROIDECTOMIA	4	R$ 1.306,23	R$ 326,56
2025	02	0407020306-JEJUNOSTOMIA / ILEOSTOMIA	1	R$ 1.590,86	R$ 1.590,86
2025	02	0407020357-PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL	1	R$ 374,14	R$ 374,14
2025	02	0407030026-COLECISTECTOMIA	1	R$ 10.430,34	R$ 10.430,34
2025	02	0407030034-COLECISTECTOMIA VIDEOLAPAROSCOPICA	22	R$ 23.616,55	R$ 1.073,48
2025	02	0407030042-COLECISTOSTOMIA	2	R$ 4.087,31	R$ 2.043,66
2025	02	0407030255-COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA TERAPEUTICA	10	R$ 28.086,74	R$ 2.808,67
2025	02	0407040013-DRENAGEM DE ABSCESSO PELVICO	2	R$ 5.244,87	R$ 2.622,44
2025	02	0407040030-DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL	2	R$ 1.776,63	R$ 888,32
2025	02	0407040080-HERNIOPLASTIA INCISIONAL	2	R$ 1.485,11	R$ 742,56
2025	02	0407040099-HERNIOPLASTIA INGUINAL (BILATERAL)	1	R$ 610,06	R$ 610,06
2025	02	0407040102-HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)	5	R$ 13.981,23	R$ 2.796,25
2025	02	0407040110-HERNIOPLASTIA RECIDIVANTE	1	R$ 721,33	R$ 721,33
2025	02	0407040129-HERNIOPLASTIA UMBILICAL	3	R$ 1.406,97	R$ 468,99
2025	02	0407040161-LAPAROTOMIA EXPLORADORA	2	R$ 1.738,70	R$ 869,35
2025	02	0407040170-LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA	4	R$ 2.874,70	R$ 718,68
2025	02	0407040188-LIBERACAO DE ADERENCIAS INTESTINAIS	2	R$ 2.519,05	R$ 1.259,53
2025	02	0408010142-REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)	6	R$ 3.677,46	R$ 612,91
2025	02	0408010150-TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA	1	R$ 422,62	R$ 422,62
2025	02	0408010185-TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR	1	R$ 391,04	R$ 391,04
2025	02	0408020032-ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO SUPERIOR	2	R$ 644,55	R$ 322,28
2025	02	0408020148-RECONSTRUCAO DE POLIA TENDINOSA DOS DEDOS DA MAO	1	R$ 403,13	R$ 403,13
2025	02	0408020202-REDUCAO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRACO	1	R$ 545,29	R$ 545,29
2025	02	0408020326-TRATAMENTO CIRURGICO DE DEDO EM GATILHO	1	R$ 249,15	R$ 249,15
2025	02	0408020334-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO	4	R$ 4.873,91	R$ 1.218,48
2025	02	0408020342-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DAS FALANGES DA MAO (COM FIXACAO)	8	R$ 2.387,68	R$ 298,46
2025	02	0408020369-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DO CONDILO / TROCLEA/APOFISE CORONOIDE DO ULNA / CABECA DO RADIO	4	R$ 2.410,08	R$ 602,52
2025	02	0408020377-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METACARPIANOS	4	R$ 2.164,61	R$ 541,15
2025	02	0408020385-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA SUPRACONDILIANA DO UMERO	4	R$ 3.591,19	R$ 897,80
2025	02	0408020393-TRATAMENTO CIRUGICO DE FRATURA DA DIAFISE DO UMERO	2	R$ 3.089,04	R$ 1.544,52
2025	02	0408020407-TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO	18	R$ 13.311,44	R$ 739,52
2025	02	0408020415-TRATAMENTO CIRURGICO DE FRATURA DE EXTREMIDADES / METAFISE PROXIMAL DOS OSSOS DO ANTEBRACO	1	R$ 493,57	R$ 493,57
2025	02	0408020431-TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA	1	R$ 447,37	R$ 447,37
2025	02	0408020482-TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO	1	R$ 456,07	R$ 456,07
2025	02	0408020520-TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO DOS OSSOS DO CARPO	2	R$ 838,48	R$ 419,24
2025	02	0408020539-TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO METACARPO-FALANGIANA	1	R$ 192,60	R$ 192,60
2025	02	0408020628-TRATAMENTO CIRURGICO DE SINDACTILIA DA MAO (POR ESPACO INTERDIGITAL)	1	R$ 200,60	R$ 200,60
2025	02	0408020644-TRATAMENTO CIRURGICO P/ CENTRALIZACAO DO PUNHO	1	R$ 272,43	R$ 272,43
2025	02	0408030011-ARTRODESE CERVICAL / CERVICO TORACICA POSTERIOR CINCO NIVEIS	2	R$ 27.666,61	R$ 13.833,31
2025	02	0408030038-ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR DOIS NIVEIS	1	R$ 33.216,96	R$ 33.216,96
2025	02	0408030046-ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR SEIS NIVEIS	1	R$ 11.619,70	R$ 11.619,70
2025	02	0408030070-ARTRODESE CERVICAL ANTERIOR DOIS NIVEIS	1	R$ 6.095,65	R$ 6.095,65
2025	02	0408030119-ARTRODESE CERVICAL ANTERIOR UM NIVEL	1	R$ 6.179,99	R$ 6.179,99
2025	02	0408030135-ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL UM NIVEL	1	R$ 4.807,87	R$ 4.807,87
2025	02	0408030380-DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (1 NIVEL C/ MICROSCOPIO)	1	R$ 1.757,37	R$ 1.757,37
2025	02	0408030399-DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (UM NIVEL)	2	R$ 1.626,70	R$ 813,35
2025	02	0408030470-DRENAGEM CIRURGICA DO ILIOPSOAS	1	R$ 1.938,12	R$ 1.938,12
2025	02	0408030542-RESSECCAO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL DISTAIL A C2 (AT 2 SEGMENTOS)	1	R$ 18.903,48	R$ 18.903,48
2025	02	0408030763-TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR NOVE NIVEIS	1	R$ 15.057,90	R$ 15.057,90
2025	02	0408030909-TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SETE NIVEIS	1	R$ 12.645,95	R$ 12.645,95
2025	02	0408040084-ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA	1	R$ 14.305,74	R$ 14.305,74
2025	02	0408040092-ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NAO CIMENTADA / HIBRIDA	7	R$ 70.090,96	R$ 10.012,99
2025	02	0408040122-EPIFISIODESE DO TROCANTER MAIOR DO FEMUR	2	R$ 2.299,02	R$ 1.149,51
2025	02	0408040130-EPIFISIODESE FEMORAL PROXIMAL IN SITU	1	R$ 964,00	R$ 964,00
2025	02	0408040254-TRATAMENTO CIRURGICO DE ASSOCIACAO FRATURA / LUXACAO / FRATURA-LUXACAO / DISJUNCAO DO ANEL PELVICO	4	R$ 12.032,04	R$ 3.008,01
2025	02	0408040289-TRATAMENTO CIRURGICO DE FRATURA / LUXACAO COXOFEMORAL C/ FRATURA DA EPIFISE FEMORAL	1	R$ 2.411,01	R$ 2.411,01
2025	02	0408050012-AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES	8	R$ 42.205,13	R$ 5.275,64
2025	02	0408050020-AMPUTACAO / DESARTICULACAO DE PE E TARSO	2	R$ 2.023,94	R$ 1.011,97
2025	02	0408050039-ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR	1	R$ 1.277,14	R$ 1.277,14
2025	02	0408050063-ARTROPLASTIA TOTAL PRIMARIA DO JOELHO	1	R$ 10.735,71	R$ 10.735,71
2025	02	0408050136-RECONSTRUCAODE TENDAO PATELAR / TENDAO QUADRICIPITAL	1	R$ 1.718,84	R$ 1.718,84
2025	02	0408050195-REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE	1	R$ 185,10	R$ 185,10
2025	02	0408050217-REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO	1	R$ 629,53	R$ 629,53
2025	02	0408050225-REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA	1	R$ 259,63	R$ 259,63
2025	02	0408050233-REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA PROXIMAL DO FEMUR	2	R$ 496,62	R$ 248,31
2025	02	0408050330-REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE)	2	R$ 836,74	R$ 418,37
2025	02	0408050349-REVISAO CIRURGICA DO PE TORTO CONGENITO	1	R$ 368,52	R$ 368,52
2025	02	0408050462-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS	1	R$ 1.195,37	R$ 1.195,37
2025	02	0408050470-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS	1	R$ 1.395,94	R$ 1.395,94
2025	02	0408050489-TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE)	5	R$ 8.875,72	R$ 1.775,14
2025	02	0408050497-TRATAMENTO CIRURGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXACAO DO TORNOZELO	15	R$ 17.116,61	R$ 1.141,11
2025	02	0408050500-TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA	18	R$ 67.545,54	R$ 3.752,53
2025	02	0408050519-TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR	11	R$ 24.890,36	R$ 2.262,76
2025	02	0408050543-TRATAMENTO CIRURGICO DE FRATURA DO PILAO TIBIAL	2	R$ 4.166,49	R$ 2.083,25
2025	02	0408050551-TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL	6	R$ 4.755,75	R$ 792,63
2025	02	0408050578-TRATAMENTO CIRURGICO DE FRATURA DO TORNOZELO UNIMALEOLAR	4	R$ 4.796,21	R$ 1.199,05
2025	02	0408050616-TRATAMENTO CIRURGICO DE FRATURA SUBTROCANTERIANA	1	R$ 1.766,48	R$ 1.766,48
2025	02	0408050624-TRATAMENTO CIRURGICO DE FRATURA SUPRACONDILEANA DO FEMUR (METAFISE DISTAL)	1	R$ 2.596,49	R$ 2.596,49
2025	02	0408050632-TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA	7	R$ 29.636,40	R$ 4.233,77
2025	02	0408050659-TRATAMENTO CIRURGICO DE HALUX VALGUS COM OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO	1	R$ 737,62	R$ 737,62
2025	02	0408050667-TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO)	1	R$ 926,39	R$ 926,39
2025	02	0408050810-TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO COLO DO FEMUR	1	R$ 1.304,63	R$ 1.304,63
2025	02	0408050900-TRATAMENTO CIRURGICO DO HALUX RIGIDUS	1	R$ 536,84	R$ 536,84
2025	02	0408060050-ARTRODESE DE PEQUENAS ARTICULACOES	1	R$ 493,02	R$ 493,02
2025	02	0408060077-ARTROPLASTIA DE RESSECCAO DE PEQUENAS ARTICULACOES	1	R$ 569,17	R$ 569,17
2025	02	0408060182-OSTEOTOMIA DE OSSOS DA MAO E/OU DO PE	1	R$ 550,87	R$ 550,87
2025	02	0408060190-OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE	1	R$ 7.834,81	R$ 7.834,81
2025	02	0408060212-RESSECCAO DE CISTO SINOVIAL	1	R$ 128,59	R$ 128,59
2025	02	0408060255-RESSECCAO DE TUMOR E RECONSTRUCAO C/ TRANSPORTE OSSEO	1	R$ 1.089,98	R$ 1.089,98
2025	02	0408060263-RESSECCAO DE TUMOR OSSEO C/ SUBSTITUICAO (ENDOPROTESE)	1	R$ 17.063,80	R$ 17.063,80
2025	02	0408060352-RETIRADA DE FIO OU PINO INTRA-OSSEO	5	R$ 1.653,68	R$ 330,74
2025	02	0408060360-RETIRADA DE FIXADOR EXTERNO	5	R$ 758,35	R$ 151,67
2025	02	0408060379-RETIRADA DE PLACA E/OU PARAFUSOS	9	R$ 3.587,89	R$ 398,65
2025	02	0408060387-RETIRADA DE PROTESE DE SUBSTITUICAO DE GRANDES ARTICULACOES (OMBRO / COTOVELO / QUADRIL / JOELHO)	1	R$ 5.489,68	R$ 5.489,68
2025	02	0408060425-REVISAO CIRURGICA DE COTO DE AMPUTACAO DOS DEDOS	3	R$ 661,46	R$ 220,49
2025	02	0408060441-TENOLISE	1	R$ 242,84	R$ 242,84
2025	02	0408060450-TENOMIORRAFIA	3	R$ 859,25	R$ 286,42
2025	02	0408060484-TENORRAFIA UNICA EM TUNEL OSTEO-FIBROSO	7	R$ 3.602,88	R$ 514,70
2025	02	0408060646-TRATAMENTO CIRURGICO DE MAO OU PE EM FENDA / DEDO BIFIDO / MACRODACTILIA / POLIDACTILIA	1	R$ 481,20	R$ 481,20
2025	02	0408060662-TRATAMENTO CIRURGICO DE POLIDACTILIA ARTICULADA	1	R$ 497,62	R$ 497,62
2025	02	0409010065-CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA	1	R$ 549,72	R$ 549,72
2025	02	0409010090-CISTOSTOMIA	1	R$ 774,17	R$ 774,17
2025	02	0409010138-DRENAGEM DE ABSCESSO RENAL / PERI-RENAL	1	R$ 1.035,42	R$ 1.035,42
2025	02	0409010170-INSTALACAO ENDOSCOPICA DE CATETER DUPLO J	12	R$ 20.400,00	R$ 1.700,00
2025	02	0409010197-LOMBOTOMIA	1	R$ 2.424,23	R$ 2.424,23
2025	02	0409010219-NEFRECTOMIA TOTAL	2	R$ 21.116,62	R$ 10.558,31
2025	02	0409010235-NEFROLITOTOMIA PERCUTANEA	2	R$ 4.301,52	R$ 2.150,76
2025	02	0409010251-NEFROPIELOSTOMIA	1	R$ 915,86	R$ 915,86
2025	02	0409010294-NEFROSTOMIA PERCUTANEA	7	R$ 25.035,48	R$ 3.576,50
2025	02	0409010324-PIELOPLASTIA	1	R$ 1.843,28	R$ 1.843,28
2025	02	0409010383-RESSECCAO ENDOSCOPICA DE LESAO VESICAL	3	R$ 3.309,21	R$ 1.103,07
2025	02	0409010561-URETEROLITOTOMIA	1	R$ 1.362,01	R$ 1.362,01
2025	02	0409010596-URETEROLITOTRIPSIA TRANSURETEROSCOPICA	12	R$ 14.495,29	R$ 1.207,94
2025	02	0409020052-LIGADURA / SECCAO DE VASOS ABERRANTES	1	R$ 405,28	R$ 405,28
2025	02	0409020133-URETROPLASTIA AUTOGENA	1	R$ 769,55	R$ 769,55
2025	02	0409020176-URETROTOMIA INTERNA	2	R$ 939,84	R$ 469,92
2025	02	0409030015-DRENAGEM DE ABSCESSO PROSTATICO	1	R$ 1.821,08	R$ 1.821,08
2025	02	0409030023-PROSTATECTOMIA SUPRAPUBICA	2	R$ 2.823,04	R$ 1.411,52
2025	02	0409030040-RESSECCAO ENDOSCOPICA DE PROSTATA	2	R$ 1.711,16	R$ 855,58
2025	02	0409040010-DRENAGEM DE ABSCESSO DA BOLSA ESCROTAL	1	R$ 304,59	R$ 304,59
2025	02	0409040096-EXPLORACAO CIRURGICA DA BOLSA ESCROTAL	2	R$ 2.807,16	R$ 1.403,58
2025	02	0409040126-ORQUIDOPEXIA BILATERAL	1	R$ 405,38	R$ 405,38
2025	02	0409040134-ORQUIDOPEXIA UNILATERAL	3	R$ 1.080,21	R$ 360,07
2025	02	0409040142-ORQUIECTOMIA SUBCAPSULAR BILATERAL	1	R$ 433,62	R$ 433,62
2025	02	0409040169-ORQUIECTOMIA UNILATERAL	1	R$ 350,13	R$ 350,13
2025	02	0409040215-TRATAMENTO CIRURGICO DE HIDROCELE	3	R$ 778,91	R$ 259,64
2025	02	0409050032-CORRECAO DE HIPOSPADIA (1º TEMPO)	2	R$ 769,92	R$ 384,96
2025	02	0409050075-PLASTICA TOTAL DO PENIS	1	R$ 505,02	R$ 505,02
2025	02	0409050083-POSTECTOMIA	9	R$ 1.988,08	R$ 220,90
2025	02	0409050091-RESTAURACAO DA FUNCAO ERETIL DO PENIS	1	R$ 1.628,17	R$ 1.628,17
2025	02	0409050113-TRATAMENTO CIRURGICO DE PRIAPRISMO	1	R$ 896,19	R$ 896,19
2025	02	0409060100-HISTERECTOMIA (POR VIA VAGINAL)	1	R$ 692,91	R$ 692,91
2025	02	0409060135-HISTERECTOMIA TOTAL	3	R$ 2.723,79	R$ 907,93
2025	02	0409060151-HISTERECTOMIA VIDEOLAPAROSCOPICA	5	R$ 3.337,62	R$ 667,52
2025	02	0409060178-HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO	7	R$ 1.213,31	R$ 173,33
2025	02	0409060194-MIOMECTOMIA	2	R$ 1.062,55	R$ 531,28
2025	02	0409060216-OOFORECTOMIA / OOFOROPLASTIA	1	R$ 528,91	R$ 528,91
2025	02	0409060240-SALPINGECTOMIA VIDEOLAPAROSCOPICA	1	R$ 376,84	R$ 376,84
2025	02	0409070050-COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR	3	R$ 1.542,29	R$ 514,10
2025	02	0409070076-COLPOPERINEORRAFIA NAO OBSTETRICA	1	R$ 372,55	R$ 372,55
2025	02	0409070084-COLPOPLASTIA ANTERIOR	1	R$ 372,55	R$ 372,55
2025	02	0409070157-EXERESE DE GLANDULA DE BARTHOLIN / SKENE	1	R$ 224,69	R$ 224,69
2025	02	0409070262-TRATAMENTO CIRURGICO DE HIPERTROFIA DOS PEQUENOS LABIOS	4	R$ 477,40	R$ 119,35
2025	02	0409070270-TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL	4	R$ 1.774,56	R$ 443,64
2025	02	0409070297-VULVECTOMIA AMPLIADA COM LINFADENECTOMIA	1	R$ 1.001,56	R$ 1.001,56
2025	02	0410010014-DRENAGEM DE ABSCESSO DE MAMA	2	R$ 662,34	R$ 331,17
2025	02	0410010073-PLASTICA MAMARIA FEMININA NAO ESTETICA	3	R$ 1.542,51	R$ 514,17
2025	02	0410010111-SETORECTOMIA / QUADRANTECTOMIA	1	R$ 337,64	R$ 337,64
2025	02	0410010219-RECONSTRUCAO MAMARIA POS-MASTECTOMIA TOTAL	4	R$ 28.240,80	R$ 7.060,20
2025	02	0411010026-PARTO CESARIANO EM GESTACAO DE ALTO RISCO	30	R$ 32.441,67	R$ 1.081,39
2025	02	0411010034-PARTO CESARIANO	15	R$ 9.804,49	R$ 653,63
2025	02	0411010042-PARTO CESARIANO C/ LAQUEADURA TUBARIA	7	R$ 4.945,36	R$ 706,48
